File Name	Original Release Date	Latest Release Date	Original Release Size	Latest Release Size	Change in Size	Time Interval	Time Interval	Growth Rate	File Name	
			KiloBytes	KiloBytes	Latest - Original	Days	Years	kB / year		
					KiloBytes					
3DLDF	2003-12-09	2013-12-13	3072.0	6758.4	3686.4	3657	10.01917808	367.9343724	3DLDF	
8sync	2016-04-22	2017-03-18	217.0	270.0	53	330	0.904109589	58.62121212	8sync	
a2ps	1998-09-28	2023-06-22	2355.2	3481.6	1126.4	9033	24.74794521	45.51488985	a2ps	
acct	1997-08-20	2017-07-02	157.0	833.0	676	7256	19.87945205	34.00496141	acct	
adns	2000-09-17	2020-06-11	75.0	313.0	238	7207	19.74520548	12.05355904	adns	
anastasis	2021-08-28	2023-09-24	1228.8	1331.2	102.4	757	2.073972603	49.37384412	anastasis	
anastasis-gtk	2021-08-28	2023-09-24	1126.4	622.0	-504.4	757	2.073972603	-243.2047556	anastasis-gtk	
anubis	2002-12-15	2024-01-06	409.0	1228.8	819.8	7692	21.0739726	38.90106604	anubis	
apl	2013-10-13	2019-06-23	730.0	3481.6	2751.6	2079	5.695890411	483.0851371	apl	
archimedes	2005-02-15	2013-04-29	350.0	618.0	268	2995	8.205479452	32.66110184	archimedes	
aris	2012-05-10	2014-03-06	421.0	349.0	-72	665	1.821917808	-39.51879699	aris	
artanis	2017-05-19	2021-12-27	495.0	527.0	32	1683	4.610958904	6.939988116	artanis	
aspell	2004-02-11	2023-12-19	1024.0	3481.6	2457.6	7251	19.86575342	123.7103848	aspell	
auctex	2005-09-25	2024-01-17	838.0	1638.4	800.4	6688	18.32328767	43.68211722	auctex	
autoconf-archive	2010-06-04	2014-02-28	815.0	1126.4	311.4	1365	3.739726027	83.26813187	autoconf-archive	
autoconf	1996-05-07	2023-12-22	372.0	2048.0	1676	10090	27.64383562	60.6283449	autoconf	
autogen	2001-03-14	2018-08-26	757.0	1843.2	1086.2	6374	17.4630137	62.20003138	autogen	
libopts	2004-01-25	2012-12-27	50.0	161.0	111	3259	8.928767123	12.43172752	libopts	
automake	1996-06-08	2021-10-03	179.0	2355.2	2176.2	9248	25.3369863	85.89024654	automake	
automake-1.4	2001-05-08	2002-07-27	358.0	366.0	8	445	1.219178082	6.561797753	automake-1.4	
avl	1999-08-16	2007-08-26	126.0	1740.8	1614.8	2932	8.032876712	201.0238745	avl	
ballandpaddle	2008-08-02	2009-07-15	2048.0	7577.6	5529.6	347	0.950684932	5816.43804	ballandpaddle	
barcode	1999-06-29	2013-03-29	97.0	870.0	773	5022	13.75890411	56.18180008	barcode	
bash	1996-08-29	2023-11-09	1433.6	10240.0	8806.4	9933	27.21369863	323.6017316	bash	
bash-4.4	2015-10-12	2016-08-22	8396.8	8704.0	307.2	315	0.863013699	355.9619048	bash-4.4	
bash-5.0	2018-05-22	2018-12-20	9830.4	9932.8	102.4	212	0.580821918	176.3018868	bash-5.0	
bash-5.1	2020-06-16	2020-11-17	10137.6	10137.6	0	154	0.421917808	0	bash-5.1	
bash-5.2	2022-01-20	2022-09-09	10240.0	10240.0	0	232	0.635616438	0	bash-5.2	
bash-doc	1996-12-31	2006-10-11	933.0	2150.4	1217.4	3571	9.783561644	124.433212	bash-doc	
readline	1994-08-04	2022-09-26	398.0	2969.6	2571.6	10280	28.16438356	91.30680934	readline	
readline-7.0	2015-10-12	2016-08-22	2867.2	2867.2	0	315	0.863013699	0	readline-7.0	
bayonne	2003-07-16	2011-12-18	4198.4	456.0	-3742.4	3077	8.430136986	-443.9311017	bayonne	
bayonne2	2005-06-06	2007-01-18	486.0	4915.2	4429.2	591	1.619178082	2735.461929	bayonne2	
bc	1994-11-21	2017-04-09	123.0	410.0	287	8175	22.39726027	12.81406728	bc	
binutils	1996-10-01	2024-01-29	4403.2	50176.0	45772.8	9981	27.34520548	1673.887586	binutils	
bison	1996-05-11	2021-09-25	281.0	5529.6	5248.6	9268	25.39178082	206.7046828	bison	
bool	2001-05-09	2001-11-26	70.0	88.0	18	201	0.550684932	32.68656716	bool	
bpel2owfn	2007-04-25	2007-07-30	311.0	1638.4	1327.4	96	0.263013699	5046.885417	bpel2owfn	
c-graph	2012-04-26	2019-01-19	1331.2	1433.6	102.4	2459	6.736986301	15.19967466	c-graph	
ccaudio	2002-03-09	2006-04-24	147.0	335.0	188	1507	4.128767123	45.53417386	ccaudio	
ccaudio2	2004-11-28	2015-12-13	359.0	431.0	72	4032	11.04657534	6.517857143	ccaudio2	
ccd2cue	2014-01-23	2015-03-12	583.0	611.0	28	413	1.131506849	24.74576271	ccd2cue	
ccrtp	2002-03-09	2015-03-29	209.0	747.0	538	4768	13.0630137	41.18498322	ccrtp	
libzrtpcpp	2006-10-01	2013-07-01	442.0	251.0	-191	2465	6.753424658	-28.28194726	libzrtpcpp	
ccscript	2002-04-12	2015-12-13	211.0	391.0	180	4993	13.67945205	13.15842179	ccscript	
ccscript3	2005-01-27	2009-08-26	336.0	402.0	66	1672	4.580821918	14.40789474	ccscript3	
