File Name	Original Release Date	Latest Release Date	Original Release Size	Latest Release Size	
File	Name	Name	Date	Date	
3DLDF	2003-12-09	2013-12-13	3.0M	6.6M	
3DLDF-2.0.3	2013-12-13	2013-12-13	262M	262M	
8sync	2016-04-22	2017-03-18	217K	270K	
a2ps	1998-09-28	2023-06-22	2.3M	3.4M	
acct	1997-08-20	2017-07-02	157K	833K	
acm	2010-12-08	2010-12-08	902K	902K	
adns	2000-09-17	2020-06-11	75K	313K	
anastasis	2021-08-28	2023-09-24	1.2M	1.3M	
anastasis-gtk	2021-08-28	2023-09-24	1.1M	622K	
anubis	2002-12-15	2024-01-06	409K	1.2M	
apl	2013-10-13	2019-06-23	730K	3.4M	
apl_1.0	2013-10-13	2013-10-13	9.3K	9.3K	
apl_1.1	2013-11-05	2013-11-05	9.3K	9.3K	
apl_1.2	2014-01-13	2014-01-13	9.7K	9.7K	
apl_1.3	2014-03-27	2014-03-27	9.7K	9.7K	
apl_1.4	2014-08-07	2014-08-07	9.9K	9.9K	
apl_1.5	2015-03-29	2015-03-29	11K	11K	
apl_1.6	2016-08-28	2016-08-28	11K	11K	
apl_1.7	2017-03-17	2017-03-17	10K	10K	
apl_1.8	2019-06-23	2019-06-23	11K	11K	
archimedes	2005-02-15	2013-04-29	350K	618K	
aris	2012-05-10	2014-03-06	421K	349K	
artanis	2017-05-19	2021-12-27	495K	527K	
artanis-0.2.12-f39e	2017-05-17	2017-05-17	493K	493K	
artanis-latest.12-f39e	2017-05-17	2017-05-17	493K	493K	
aspell	2004-02-11	2023-12-19	1.0M	3.4M	
aspell-lang	2010-11-22	2010-11-22	287K	287K	
auctex	2005-09-25	2024-01-17	838K	1.6M	
auctex-11.82	2006-01-16	2006-01-16	850K	850K	
auctex-11.83	2006-06-07	2006-06-07	862K	862K	
auctex-11.84	2007-01-12	2007-01-12	889K	889K	
auctex-11.85	2008-02-10	2008-02-10	922K	922K	
auctex-11.86	2010-02-21	2010-02-21	1.0M	1.0M	
auctex-11.87	2012-11-30	2012-11-30	1.0M	1.0M	
