File Name	Date Last Modified	Latest Release Size
3DLDF-1.1.3.tar.gz	2003-12-09	3.0M
3DLDF-1.1.4.tar.gz	2003-12-10	3.2M
3DLDF-1.1.5.1.tar.gz	2004-01-16	7.2M
3DLDF-1.1.5.tar.gz	2004-01-16	8.0M
3DLDF-2.0.1.tar.gz	2013-11-10	268M
3DLDF-2.0.2.tar.gz	2013-11-10	268M
3DLDF-2.0.3-examples.tar.gz	2013-12-13	262M
3DLDF-2.0.3.tar.gz	2013-12-13	6.6M
3DLDF-2.0.tar.gz	2013-11-08	267M
8sync-0.1.0.tar.gz	2016-04-22	217K
8sync-0.2.0.tar.gz	2016-12-05	233K
8sync-0.3.0.tar.gz	2016-12-19	233K
8sync-0.4.0.tar.gz	2017-01-08	268K
8sync-0.4.1.tar.gz	2017-01-08	252K
8sync-0.4.2.tar.gz	2017-03-18	270K
a2ps-4.10.4.tar.gz	1998-09-28	2.3M
a2ps-4.12.tar.gz	1999-02-22	1.7M
a2ps-4.13b.tar.gz	2002-03-04	1.9M
a2ps-4.14.tar.gz	2007-12-28	2.4M
a2ps-4.15.1.tar.gz	2023-03-12	3.4M
a2ps-4.15.2.tar.gz	2023-03-19	3.4M
a2ps-4.15.3.tar.gz	2023-03-26	3.4M
a2ps-4.15.4.tar.gz	2023-04-13	3.4M
a2ps-4.15.5.tar.gz	2023-06-22	3.4M
a2ps-4.15.tar.gz	2023-03-07	3.6M
acct-6.3.2.tar.gz	1998-03-10	134K
acct-6.3.tar.gz	1997-08-20	157K
acct-6.5.1.tar.gz	2009-09-06	610K
acct-6.5.3.tar.gz	2010-01-23	634K
acct-6.5.4.tar.gz	2010-02-12	629K
acct-6.5.5.tar.gz	2010-11-05	730K
acct-6.5.tar.gz	2009-09-03	516K
acct-6.6.1.tar.gz	2013-03-08	2.7M
acct-6.6.2.tar.gz	2014-11-08	832K
acct-6.6.3.tar.gz	2017-04-17	833K
acct-6.6.4.tar.gz	2017-07-02	833K
acm-5.1.tar.gz	2010-12-08	902K
adns-0.1.tar.gz	2000-09-17	75K
adns-0.2.tar.gz	2000-09-17	84K
adns-0.3.tar.gz	2000-09-17	104K
adns-0.4.tar.gz	2000-09-17	134K
